SIM Operator ,SIM  Type ,Packages Type  ,"Package Volume 
(Data/ Minutes/ SMS)","Validity
(Days/Hours )","Price
(BDT)"
Airtel,Regular SIM ,Data ,1GB FB + Insta,15 Days,12
Airtel,Regular SIM ,Data ,300MB,3 Days,17
Airtel,Regular SIM ,Data ,700 MB (100MB Bonus),3 Days,29
Airtel,Regular SIM ,Data ,612 MB,3 Days,32
Airtel,Regular SIM ,Data ,612 MB,30 Days,132
Airtel,Regular SIM ,Data ,750 MB,3 Days,38
Airtel,Regular SIM ,Data ,2.5GB (1.1GB Bonus),3 Days,49
Airtel,Regular SIM ,Data ,1.5 GB,3 Days,57
Airtel,Regular SIM ,Data ,2 GB,7 Days,101
Airtel,Regular SIM ,Data ,3GB,3 Days,63
Airtel,Regular SIM ,Data ,3GB,30 Days,229
Airtel,Regular SIM ,Data ,5 GB,3 Days,68
Airtel,Regular SIM ,Data ,4.5GB,7 Days,114
Airtel,Regular SIM ,Data ,5GB,30 Days,249
Airtel,Regular SIM ,Data ,3 GB,3 Days,76
Airtel,Regular SIM ,Data ,5.5GB,3 Days,89
Airtel,Regular SIM ,Data ,5GB,7 Days,129
Airtel,Regular SIM ,Data ,20GB (5GB Bonus),7 Days,147
Airtel,Regular SIM ,Data ,20GB (5GB Bonus),30 Days,344
Airtel,Regular SIM ,Data ,30GB,30 Days,398
Airtel,Regular SIM ,Data ,35GB ( 5GB Bonus),30 Days,429
Airtel,Regular SIM ,Data ,800 MB 15 min,30 Days,36
Airtel,Regular SIM ,Combo Package ,1GB + 20min,3 Days,36
Airtel,Regular SIM ,Combo Package ,1.5 GB + 25 min,3 Days,67
Airtel,Regular SIM ,Combo Package ,1.5GB + 25min,7 Days,98
Airtel,Regular SIM ,Combo Package ,1GB + 70Min,30 Days,158
Airtel,Regular SIM ,Combo Package ,3GB + 150Min,7 Days,128
Airtel,Regular SIM ,Combo Package ,4GB + 150Min,30 Days,198
Airtel,Regular SIM ,Combo Package ,4GB + 475min,30 Days,298
Airtel,Regular SIM ,Combo Package ,7GB + 300Min,30 Days,299
Airtel,Regular SIM ,Combo Package ,6 GB + 200Min,30 Days,348
Airtel,Regular SIM ,Combo Package ,25GB + 700Min,30 Days,498
Airtel,Regular SIM ,Combo Package ,28GB + 750min,30 Days,548
Airtel,Regular SIM ,Combo Package ,35GB + 900Min,30 Days,598
Airtel,Regular SIM ,Combo Package ,25GB + 500 Min,30 Days,648
Airtel,Regular SIM ,Combo Package ,40 GB + 600 Min,30 Days,799
Airtel,Regular SIM ,Combo Package ,4 GB + 475 Min,3 Days,293
Airtel,Regular SIM ,Combo Package ,4 GB + 475 Min,7 Days,295
Airtel,Regular SIM ,Combo Package ,4 GB + 475 Min,15 Days,297
Airtel,Regular SIM ,Combo Package ,1 GB + 1000 Min,3 Days,601
Airtel,Regular SIM ,Combo Package ,1 GB + 1000 Min,7 Days,602
Airtel,Regular SIM ,Combo Package ,1 GB + 1000 Min,15 Days,603
Airtel,Regular SIM ,Combo Package ,1 GB + 1000 Min,30 Days,604
Airtel,Regular SIM ,Combo Package ,1 GB + 1000 Min,30 Days,604
Airtel,Regular SIM ,Data ,1.4 GB,3 Days,49
Airtel,Regular SIM ,Data ,1.7 GB,3  Days,49
Airtel,Regular SIM ,Combo Package ,10 GB + 300 MIN,30 Days ,348
Airtel,Regular SIM ,Combo Package ,4 GB + 200 MIN,30 Days ,198
Airtel,Regular SIM ,Combo Package ,3GB + 150Min,30 Days ,219
Airtel,Regular SIM ,Combo Package ,8GB + 200Min,30 Days ,397
Airtel,Regular SIM ,Data ,40 GB,30 Days ,549
Airtel,Regular SIM ,Data ,15 GB,30 Days ,399
Airtel,Regular SIM ,Combo Package ,30 GB + 600Min,30 Days ,719
Airtel,Regular SIM ,Combo Package ,1.5GB + 15 Min,3 Days,44
Airtel,Regular SIM ,Combo Package ,5GB + 200Min,30 Days ,269
Airtel,Regular SIM ,Data ,35 GB,30 Days ,497
Airtel,Regular SIM ,Data ,2 GB,3 Days,41
Airtel,Regular SIM ,Data ,20 GB,7 Days,147
Airtel,Regular SIM ,Data ,2 GB,7 Days,60
Airtel,Regular SIM ,Data ,10 GB,3 Days,89
Airtel,Regular SIM ,Data ,3.5 GB,3 Days,57
Airtel,Regular SIM ,Data ,12 GB ,7 Days,129
Airtel,Regular SIM ,Data ,300 MB,3 Days,19
Airtel,Regular SIM ,Data ,45 GB,30 Days,449
Airtel,Regular SIM ,Data ,16 GB,15 Days,200
Airtel,Regular SIM ,Data ,6 GB,3 Days,68
Airtel,Regular SIM ,Data ,18 GB,30 Days,349
Airtel,Regular SIM ,Data ,25 GB,7 Days,164
Airtel,Regular SIM ,Data ,6 GB,7 Days,114
Airtel,Regular SIM ,Data ,2.5 GB,3 Days,49
Airtel,Regular SIM ,Data ,8 GB,3 Days,76
Airtel,Regular SIM ,Data ,50 GB,30 Days,497
Airtel,Regular SIM ,Data ,800 MB,3 Days,32
Airtel,Regular SIM ,Data ,60 GB,30 Days,549
Airtel,Regular SIM ,Data ,32 GB,30 Days,399
Airtel,Regular SIM ,Minutes ,10 Minutes,1 Day,6
Airtel,Regular SIM ,Minutes ,12 Minutes,2 Days,8
Airtel,Regular SIM ,Minutes ,21 Minutes,2 Days,14
Airtel,Regular SIM ,Minutes ,30 Minutes,2 Days,18
Airtel,Regular SIM ,Minutes ,46 Minutes,2 Days,28
Airtel,Regular SIM ,Minutes ,55 Minutes,4 Days,34
Airtel,Regular SIM ,Minutes ,75 Minutes,7 Days,48
Airtel,Regular SIM ,Combo Package ,"14 Min, 16 SMS",24 Hours,9
Airtel,Regular SIM ,Combo Package ,"16 Min, 19 SMS",24 Hours,10.96
Airtel,Regular SIM ,Minutes ,28 Minutes,24 Hours,18
Airtel,Regular SIM ,Minutes ,35 Minutes,2 Days,23
Airtel,Regular SIM ,Minutes ,70 Minutes,7 Days,46
Airtel,Regular SIM ,Minutes ,85 Minutes,7 Days,53
Airtel,Regular SIM ,Minutes ,115 Minutes,7 Days,74
Airtel,Regular SIM ,Minutes ,130 Minutes,7 Days,78
Airtel,Regular SIM ,Minutes ,145 Minutes,7 Days,93
Airtel,Regular SIM ,Minutes ,160 Minutes,7 Days,97
Airtel,Regular SIM ,Combo Package ,"1.5GB, 40 Min, 50 SMS",7 Days,98
Airtel,Regular SIM ,Minutes ,175 Minutes,10 Days,107
Airtel,Regular SIM ,Minutes ,190 Minutes,15 Days,118
Airtel,Regular SIM ,Combo Package ,"235 Min, 250 SMS, 1GB",30 Days,149
Airtel,Regular SIM ,Minutes ,275 Minutes,30 Days,169
Airtel,Regular SIM ,Combo Package ,"80 Min, 2GB",30 Day,198
Airtel,Regular SIM ,Minutes ,330 Minutes,30 Day,199
Airtel,Regular SIM ,Minutes ,340 Minutes,30 Day,207
Airtel,Regular SIM ,Combo Package ,"370 Min, 800 SMS, 500MB 4G",30 Days,228
Airtel,Regular SIM ,Combo Package ,"440 Min, 1GB",30 Days,278
Airtel,Regular SIM ,Minutes ,510 Minutes,30 Days,307
Airtel,Regular SIM ,Combo Package ,"580 Min, 500SMS",30 Days,349
Airtel,Regular SIM ,Minutes ,830 Minutes,30 Days,499
Airtel,Regular SIM ,Combo Package ,1000 Min+1GB,30 Days,604
Airtel,Regular SIM ,Combo Package ,"950 Min, 800 SMS, 2GB",30 Days,574
Airtel,Regular SIM ,SMS,800 SMS,3 DAYS,15
Airtel,Regular SIM ,SMS,3000 SMS,6 DAYS,37
Airtel,Regular SIM ,SMS,4000 SMS,6 DAYS,47
Airtel,Regular SIM ,SMS,5000 SMS,6 DAYS,57
Airtel,Regular SIM ,SMS,1500 SMS,30 DAYS,25
Airtel,Regular SIM ,SMS,150 SMS,24 Hours,5
Airtel,Regular SIM ,SMS,40 SMS,12 Hours,2
Airtel,Reactivation SIM ,Minutes ,30 MINUTE,7 Days,18
Airtel,Reactivation SIM ,Minutes ,55 MINUTE,15 Days,34
Airtel,Reactivation SIM ,Combo Package ,3GB + 30MINUTE + 48 PAISA/MINUTE (+TAX),7 Days Rate Cutter 30 Days,37
Airtel,Reactivation SIM ,Minutes ,75 MINUTE,30 Days,46
Airtel,Reactivation SIM ,Data ,8 GB,7 Days,77
Airtel,Reactivation SIM ,Combo Package ,6 GB + 120 MINUTE,30 Days,119
Banglalink ,Regular SIM ,Data ,300 MB,30 Days,76
Banglalink ,Regular SIM ,Data ,5 GB,7 Days,46
Banglalink ,Regular SIM ,Data ,10 GB,30 Days,96
Banglalink ,Regular SIM ,Data ,5 GB,7 Days,129
Banglalink ,Regular SIM ,Data ,200 MB,3 Days,18
Banglalink ,Regular SIM ,Data ,1.5 GB,3 Days,49
Banglalink ,Regular SIM ,Data ,512 MB,7 Days,51
Banglalink ,Regular SIM ,Data ,2 GB,7 Days,114
Banglalink ,Regular SIM ,Data ,11 GB,7 Days,149
Banglalink ,Regular SIM ,Data ,15 GB,7 Days,169
Banglalink ,Regular SIM ,Data ,1.5 GB,30 Days,209
Banglalink ,Regular SIM ,Data ,3 GB,30 Days,249
Banglalink ,Regular SIM ,Data ,5 GB,30 Days,299
Banglalink ,Regular SIM ,Data ,35 GB,30 Days,499
Banglalink ,Regular SIM ,Data ,15 GB,30 Days,399
Banglalink ,Regular SIM ,Data ,3 GB,3 Days,68
Banglalink ,Regular SIM ,Data ,512 MB,3 Days,36
Banglalink ,Regular SIM ,Data ,2 GB,3 Days,58
Banglalink ,Regular SIM ,Data ,2 GB,15 Days,194
Banglalink ,Regular SIM ,Data ,200 MB,15 Days,63
Banglalink ,Regular SIM ,Data ,1 GB,15 Days,116
Banglalink ,Regular SIM ,Data ,512 MB,15 Days,91
Banglalink ,Regular SIM ,Data ,5 GB,365 Days,306
Banglalink ,Regular SIM ,Data ,30 GB,30 Days,389
Banglalink ,Regular SIM ,Data ,60 GB,30 Days,619
Banglalink ,Regular SIM ,Data ,8 GB,3 Days,89
Banglalink ,Regular SIM ,Data ,100 MB,3 Days,9
Banglalink ,Regular SIM ,Data ,300 MB,3 Days,19
Banglalink ,Regular SIM ,Data ,50 GB,30 Days,599
Banglalink ,Regular SIM ,Data ,8 GB,7 Days,139
Banglalink ,Regular SIM ,Data ,3 GB,30 Days,99
