operator,offer_id,offer_name,category,data_gb,minutes,sms,validity_days,speed_cap_mbps,roaming,ussd_code,auto_renewal,source_page,price_per_gb,price_per_minute,price_per_sms,price_bdt
Banglalink,TK119DATAUSSD72HRR,Banglalink Prepaid 6 gb at only Tk. 119 recharge!,Data,6.0,0.0,0.0,3.0,0.0,No,*121*119#,Unknown,offers/prepaid/internet,19.83,0,0,119.0
Banglalink,TK348USSD260510R,Banglalink Prepaid 6GB Tk. 348!,Data,6.0,0.0,0.0,30.0,0.0,No,*121*348#,Unknown,offers/prepaid/internet,58.0,0,0,348.0
Banglalink,TK98USSDBLD260028A,Banglalink Prepaid 5GB Tk. 98!,Data,5.0,0.0,0.0,1.0,0.0,No,*121*98#,Unknown,offers/prepaid/internet,19.6,0,0,98.0
Banglalink,TK398USSD260010R,Banglalink Prepaid 10GB Tk. 398!,Data,10.0,0.0,0.0,30.0,0.0,No,*121*398#,Unknown,offers/prepaid/internet,39.8,0,0,398.0
Banglalink,TK498USSDBLD260023D,Banglalink Prepaid 25GB Tk. 498!,Data,25.0,0.0,0.0,30.0,0.0,No,*121*498#,Unknown,offers/prepaid/internet,19.92,0,0,498.0
Banglalink,TK598DATAUSSD30D,Banglalink Prepaid 35GB Tk. 598!,Data,35.0,0.0,0.0,30.0,0.0,No,*121*598#,Unknown,offers/prepaid/internet,17.09,0,0,598.0
Banglalink,TK698DATAUSSD,Banglalink Prepaid 75GB Tk. 698!,Data,75.0,0.0,0.0,30.0,0.0,No,*121*698#,Unknown,offers/prepaid/internet,9.31,0,0,698.0
Banglalink,TK798DATAUSSD,Banglalink Prepaid 100GB Tk. 798!,Data,100.0,0.0,0.0,30.0,0.0,No,*121*798#,Unknown,offers/prepaid/internet,7.98,0,0,798.0
Banglalink,TK898USSDBLD260066R,Banglalink Prepaid 120GB Tk. 898!,Data,120.0,0.0,0.0,30.0,0.0,No,*121*898#,Unknown,offers/prepaid/internet,7.48,0,0,898.0
Banglalink,TK158USSDBLD260019R,Banglalink Prepaid 4GB Tk. 158!,Data,4.0,0.0,0.0,7.0,0.0,No,*121*158#,Unknown,offers/prepaid/internet,39.5,0,0,158.0
Banglalink,TK999USSDBLD250066B,Banglalink Prepaid 150GB Tk. 999!,Data,150.0,0.0,0.0,30.0,0.0,No,*121*999#,Unknown,offers/prepaid/internet,6.66,0,0,999.0
Banglalink,TK149USSDBLD260028A,Banglalink Prepaid 25 GB Tk. 149!,Data,25.0,0.0,0.0,3.0,0.0,No,*121*149#,Unknown,offers/prepaid/internet,5.96,0,0,149.0
Banglalink,TK99USSDBLD240028A,Banglalink 3GB only Tk. 99!,Data,3.0,0.0,0.0,3.0,0.0,No,*121*99#,Unknown,offers/prepaid/internet,33.0,0,0,99.0
Banglalink,TK229USSDBLD260004R,Banglalink Prepaid 30GB Tk. 229!,Data,30.0,0.0,0.0,7.0,0.0,No,*121*229#,Unknown,offers/prepaid/internet,7.63,0,0,229.0
Banglalink,TK249DATAUSSD7D,Banglalink Prepaid 50GB Tk. 249!,Data,50.0,0.0,0.0,7.0,0.0,No,*121*249#,Unknown,offers/prepaid/internet,4.98,0,0,249.0
Banglalink,TK988DATAUSSD90D,Banglalink 50 GB only Tk. 988!,Data,50.0,0.0,0.0,90.0,0.0,No,*121*988#,Unknown,offers/prepaid/internet,19.76,0,0,988.0
Banglalink,TK1494DATAUSSD30D,Banglalink Prepaid 78GB only Tk. 1494!,Data,78.0,0.0,0.0,90.0,0.0,No,*121*1494#,Unknown,offers/prepaid/internet,19.15,0,0,1494.0
Banglalink,TK1794DATAUSSD30D,Banglalink Prepaid 117GB only Tk. 1794!,Data,117.0,0.0,0.0,90.0,0.0,No,*121*1794#,Unknown,offers/prepaid/internet,15.33,0,0,1794.0
Banglalink,TK2094DATAUSSD30D,Banglalink Prepaid 234GB only Tk. 2094!,Data,234.0,0.0,0.0,90.0,0.0,No,*121*2094#,Unknown,offers/prepaid/internet,8.95,0,0,2094.0
Banglalink,TK1988DATAUSSD365D,Banglalink 100 GB only Tk. 1988!,Data,100.0,0.0,0.0,365.0,0.0,No,*121*988#,Unknown,offers/prepaid/internet,19.88,0,0,1988.0
Banglalink,TK2498USSDBLU230002X,Banglalink 50 GB only Tk. 2498!,Data,50.0,0.0,0.0,3650.0,0.0,No,*121*2498#,Unknown,offers/prepaid/internet,49.96,0,0,2498.0
Banglalink,TK129DATAUSSD72HR,Banglalink Prepaid 15GB Tk. 129!,Data,15.0,0.0,0.0,3.0,0.0,No,*121*129#,Unknown,offers/prepaid/internet,8.6,0,0,129.0
