operator,offer_id,offer_name,category,data_gb,minutes,sms,validity_days,speed_cap_mbps,roaming,ussd_code,auto_renewal,source_page,price_per_gb,price_per_minute,price_per_sms,price_bdt
Robi,ROBI-001,3 GB,Data,3.0,0.0,0.0,3.0,0,No,Unknown,Unknown,offers?tab=internet,32.67,0,0,98.0
Robi,ROBI-002,100 GB,Data,100.0,0.0,0.0,30.0,0,No,Unknown,Unknown,offers?tab=internet,7.98,0,0,798.0
Robi,ROBI-003,Unlimited Internet,Unlimited,0.0,0.0,0.0,7.0,0,No,Unknown,Unknown,offers?tab=internet,0,0,0,247.0
Robi,ROBI-004,35 GB + 600 Mins,Combo,35.0,600.0,0.0,30.0,0,No,Unknown,Unknown,offers?tab=bundles,22.83,1.33,0,799.0
Robi,ROBI-005,25 GB + 500 Mins,Combo,25.0,500.0,0.0,30.0,0,No,Unknown,Unknown,offers?tab=bundles,27.96,1.4,0,699.0
Robi,ROBI-006,15 GB + 350 Mins,Combo,15.0,350.0,0.0,30.0,0,No,Unknown,Unknown,offers?tab=bundles,39.93,1.71,0,599.0
Robi,ROBI-007,3 GB + 100 Mins,Combo,3.0,100.0,0.0,30.0,0,No,Unknown,Unknown,offers?tab=bundles,103.0,3.09,0,309.0
Robi,ROBI-008,75 GB + 1500 Mins,Combo,75.0,1500.0,0.0,30.0,0,No,Unknown,Unknown,offers?tab=bundles,13.25,0.66,0,994.0
Robi,ROBI-009,30 GB + 400 Mins,Combo,30.0,400.0,0.0,30.0,0,No,Unknown,Unknown,offers?tab=bundles,19.8,1.49,0,594.0
Robi,ROBI-010,15 GB + 200 Mins,Combo,15.0,200.0,0.0,30.0,0,No,Unknown,Unknown,offers?tab=bundles,26.27,1.97,0,394.0
Robi,ROBI-011,5 Year Shodesh Pack,Combo,0.0,0.0,0.0,1825.0,0,No,Unknown,Unknown,offers?tab=bundles,0,0,0,1394.0
Robi,ROBI-012,3 Year Shodesh Pack,Combo,0.0,0.0,0.0,1095.0,0,No,Unknown,Unknown,offers?tab=bundles,0,0,0,894.0
Robi,ROBI-013,1 Paisa/Sec + Tax,Call Rate,0.0,0.0,0.0,5.0,0,No,Unknown,Unknown,offers?tab=rate-cutters,0,0.6,0,54.0
Robi,ROBI-014,89 Paisa/Min + Tax,Call Rate,0.0,0.0,0.0,30.0,0,No,Unknown,Unknown,offers?tab=rate-cutters,0,0.89,0,144.0
Robi,ROBI-015,89 Paisa/Min + Tax,Call Rate,0.0,0.0,0.0,5.0,0,No,Unknown,Unknown,offers?tab=rate-cutters,0,0.89,0,64.0
Robi,ROBI-016,1 Paisa/Sec + Tax,Call Rate,0.0,0.0,0.0,60.0,0,No,Unknown,Unknown,offers?tab=rate-cutters,0,0.6,0,204.0
Robi,ROBI-017,1 Paisa/Sec + Tax,Call Rate,0.0,0.0,0.0,7.0,0,No,Unknown,Unknown,offers?tab=rate-cutters,0,0.6,0,94.0
Robi,ROBI-018,1 Paisa/Sec + Tax,Call Rate,0.0,0.0,0.0,90.0,0,No,Unknown,Unknown,offers?tab=rate-cutters,0,0.6,0,304.0
Robi,ROBI-019,190 Mins,Minute,0.0,190.0,0.0,30.0,0,No,Unknown,Unknown,offers?tab=minutes,0,1.05,0,199.0
Robi,ROBI-020,260 Mins,Minute,0.0,260.0,0.0,30.0,0,No,Unknown,Unknown,offers?tab=minutes,0,0.92,0,239.0
Robi,ROBI-021,150 Mins,Minute,0.0,150.0,0.0,7.0,0,No,Unknown,Unknown,offers?tab=minutes,0,0.79,0,119.0
Robi,ROBI-022,105 Mins,Minute,0.0,105.0,0.0,3.0,0,No,Unknown,Unknown,offers?tab=minutes,0,0.66,0,69.0
Robi,ROBI-023,120 Min,Minute,0.0,120.0,0.0,5.0,0,No,Unknown,Unknown,offers?tab=minutes,0,0.82,0,99.0
Robi,ROBI-024,150 Mins,Minute,0.0,150.0,0.0,5.0,0,No,Unknown,Unknown,offers?tab=minutes,0,0.73,0,109.0
Robi,ROBI-025,125 Mins,Minute,0.0,125.0,0.0,3.0,0,No,Unknown,Unknown,offers?tab=minutes,0,0.63,0,79.0
Robi,ROBI-026,250 Mins,Minute,0.0,250.0,0.0,7.0,0,No,Unknown,Unknown,offers?tab=minutes,0,0.64,0,159.0
Robi,ROBI-027,1500 Mins,Minute,0.0,1500.0,0.0,150.0,0,No,Unknown,Unknown,offers?tab=minutes,0,0.66,0,989.0
Robi,ROBI-028,100 Mins,Cashback,0.0,100.0,0.0,3.0,0,No,Unknown,Unknown,offers?tab=cashback-offer,0,0.65,0,65.0
